-617258;-217731;-292666;-366598;-366598;-400530;-410723;-433996;-475738;-475738;-520793;-520793;-520793;-520793;-520793;-520793;-520793;-523003;-523003;-523003;-523003;-527775;-535686;-540875;-558204;-568474;-568474;-568474;-569381;-577879;-577879;-588210;-588210;-595758;-595758;-597746;-600031;-600031;-604940;-604940;-604940;-613468;-616345;-616993;-616993;-617258;-617258;-617258;-617258
-619571;-280854;-328478;-343495;-420604;-420604;-466360;-466360;-466360;-466360;-500802;-500802;-511322;-511322;-511322;-515118;-529307;-529307;-532738;-537797;-556831;-570051;-570051;-570051;-570051;-570051;-572238;-581984;-591341;-591341;-591398;-592177;-592177;-594522;-598635;-601453;-605272;-608153;-609693;-610373;-612063;-615271;-617636;-617871;-619121;-619571;-619571;-619571;-619571
-619595;-222690;-380122;-380122;-380122;-410432;-416802;-443475;-450157;-479838;-491546;-491546;-506261;-508432;-508432;-564106;-564106;-564106;-564106;-564106;-564106;-564106;-564106;-564106;-564106;-576232;-581931;-581931;-581931;-586576;-586576;-586576;-589825;-591218;-600114;-600525;-605000;-607770;-607770;-609977;-613920;-615913;-618540;-618540;-618540;-618540;-618540;-618540;-619595
-621086;-621086;-252821;-334765;-334765;-408902;-421536;-421536;-461863;-461863;-461863;-487418;-508020;-516500;-516500;-542448;-542448;-542448;-542448;-542448;-550722;-550900;-555653;-555653;-558244;-558244;-572204;-572204;-572204;-583965;-588326;-588326;-588495;-597261;-604026;-604026;-605317;-607345;-609283;-616161;-616161;-616161;-619386;-619386;-619961;-619961;-621086;-621086;-621086
-619595;-315619;-377645;-381638;-436212;-436212;-457661;-470257;-470257;-470257;-470257;-470257;-509414;-509414;-509414;-509414;-531724;-531724;-531724;-547835;-547835;-547835;-547835;-547835;-550575;-550575;-550575;-573097;-573097;-573097;-587467;-587467;-587467;-597524;-601214;-601214;-605223;-608833;-608948;-612065;-612078;-614498;-616098;-617420;-619228;-619595;-619595;-619595;-619595
-620060;-620060;-368917;-368917;-398436;-438744;-456250;-456250;-458532;-482301;-482301;-482301;-482301;-482301;-482301;-502216;-526094;-526094;-526094;-540633;-545457;-562893;-562893;-562893;-562893;-562893;-573045;-576967;-594005;-594005;-594129;-597904;-597904;-597904;-600574;-602944;-607229;-611273;-611273;-611273;-614978;-619203;-619203;-619203;-619693;-619693;-620060;-620060;-620060
-620060;-620060;-335743;-360793;-398728;-405556;-448602;-448602;-448602;-470967;-479799;-517269;-517269;-517269;-517269;-517269;-525333;-535800;-535800;-535800;-539758;-539758;-539758;-546444;-546444;-563084;-563433;-566991;-582848;-583284;-590402;-590402;-590402;-594532;-598818;-598818;-601115;-603019;-607674;-609488;-611938;-611938;-611938;-613397;-617780;-617875;-618935;-620060;-620060
-620060;-221157;-341783;-347001;-410176;-410176;-428164;-440582;-440582;-460642;-460642;-468300;-516205;-516205;-516205;-516205;-527098;-528393;-528393;-543962;-566887;-566887;-566887;-566887;-566887;-566887;-568593;-577034;-577034;-577034;-579335;-595302;-595302;-598060;-603454;-603454;-606404;-607201;-609750;-613285;-617125;-617125;-619693;-619693;-620060;-620060;-620060;-620060;-620060
-620060;-268406;-268406;-360148;-360148;-373031;-442278;-442278;-461363;-461363;-461363;-495265;-495265;-511143;-511297;-526144;-526144;-552761;-552761;-552761;-556680;-556680;-556680;-556680;-556680;-556680;-569173;-569173;-569173;-569173;-581193;-581193;-581193;-585283;-590062;-590675;-594171;-604768;-604768;-609880;-612650;-613787;-616798;-618003;-618908;-620060;-620060;-620060;-620060
-624319;-316098;-346096;-346096;-388388;-421284;-428199;-436927;-441998;-449220;-471621;-471621;-493388;-493388;-549182;-549182;-549182;-549182;-549182;-551854;-551854;-584376;-584376;-584376;-584376;-584998;-586212;-586212;-595902;-595902;-595902;-596868;-602340;-602340;-602916;-604943;-606428;-613204;-616124;-616124;-617717;-619589;-622964;-622964;-623167;-624116;-624319;-624319;-624319
